"","plot_num","focal","germinates","Treatment"
"1",402,"HOMU",22,"Drought"
"2",402,"FEMI",24,"Drought"
"3",402,"PLER",25,"Drought"
"4",402,"SACO",6,"Drought"
"5",402,"URLI",12,"Drought"
"6",402,"HOMU",17,"Drought"
"7",402,"FEMI",26,"Drought"
"8",402,"PLER",19,"Drought"
"9",402,"SACO",24,"Drought"
"10",402,"PLER",5,"Drought"
"11",402,"PLER",5,"Drought"
"12",402,"SACO",5,"Drought"
"13",402,"SACO",7,"Drought"
"14",402,"FEMI",3,"Drought"
"15",402,"FEMI",5,"Drought"
"16",404,"URLI",30,"Drought"
"17",404,"URLI",27,"Drought"
"18",404,"PLER",31,"Drought"
"19",404,"SACO",11,"Drought"
"20",404,"SACO",26,"Drought"
"21",404,"FEMI",26,"Drought"
"22",404,"FEMI",31,"Drought"
"23",404,"ACWR",4,"Drought"
"24",404,"ACWR",6,"Drought"
"25",405,"HOMU",21,"Drought"
"26",405,"HOMU",15,"Drought"
"27",405,"URLI",2,"Drought"
"28",405,"URLI",19,"Drought"
"29",405,"PLER",24,"Drought"
"30",405,"SACO",11,"Drought"
"31",405,"SACO",20,"Drought"
"32",405,"ACWR",5,"Drought"
"33",405,"ACWR",8,"Drought"
"34",407,"URLI",25,"Control"
"35",407,"URLI",33,"Control"
"36",407,"PLER",37,"Control"
"37",407,"SACO",2,"Control"
"38",407,"SACO",23,"Control"
"39",407,"FEMI",33,"Control"
"40",407,"FEMI",26,"Control"
"41",407,"ACWR",12,"Control"
"42",407,"ACWR",11,"Control"
"43",408,"HOMU",19,"Control"
"44",408,"HOMU",20,"Control"
"45",408,"URLI",22,"Control"
"46",408,"URLI",11,"Control"
"47",408,"SACO",12,"Control"
"48",408,"FEMI",11,"Control"
"49",408,"FEMI",20,"Control"
"50",408,"ACWR",8,"Control"
"51",408,"ACWR",4,"Control"
"52",409,"HOMU",16,"Control"
"53",409,"HOMU",14,"Control"
"54",409,"URLI",19,"Control"
"55",409,"URLI",21,"Control"
"56",409,"PLER",15,"Control"
"57",409,"PLER",18,"Control"
"58",409,"ACWR",10,"Control"
"59",409,"ACWR",2,"Control"
"60",410,"HOMU",25,"Control"
"61",410,"HOMU",13,"Control"
"62",410,"URLI",22,"Control"
"63",410,"URLI",30,"Control"
"64",410,"PLER",29,"Control"
"65",410,"PLER",21,"Control"
"66",410,"SACO",10,"Control"
"67",410,"FEMI",26,"Control"
"68",410,"FEMI",26,"Control"
"69",411,"HOMU",20,"Drought"
"70",411,"HOMU",16,"Drought"
"71",411,"URLI",32,"Drought"
"72",411,"URLI",19,"Drought"
"73",411,"PLER",28,"Drought"
"74",411,"PLER",28,"Drought"
"75",411,"SACO",20,"Drought"
"76",411,"SACO",10,"Drought"
"77",411,"ACWR",4,"Drought"
"78",411,"ACWR",8,"Drought"
"79",412,"HOMU",19,"Drought"
"80",412,"HOMU",9,"Drought"
"81",412,"URLI",14,"Drought"
"82",412,"URLI",3,"Drought"
"83",412,"FEMI",28,"Drought"
"84",412,"FEMI",9,"Drought"
"85",413,"URLI",21,"Drought"
"86",413,"URLI",21,"Drought"
"87",413,"PLER",34,"Drought"
"88",413,"PLER",27,"Drought"
"89",413,"SACO",19,"Drought"
"90",413,"SACO",6,"Drought"
"91",413,"FEMI",35,"Drought"
"92",413,"ACWR",9,"Drought"
"93",413,"ACWR",6,"Drought"
"94",414,"HOMU",15,"Drought"
"95",414,"URLI",15,"Drought"
"96",414,"URLI",26,"Drought"
"97",414,"SACO",18,"Drought"
"98",414,"SACO",2,"Drought"
"99",414,"FEMI",29,"Drought"
"100",414,"ACWR",4,"Drought"
"101",414,"ACWR",4,"Drought"
"102",416,"HOMU",23,"Control"
"103",416,"HOMU",16,"Control"
"104",416,"URLI",28,"Control"
"105",416,"URLI",30,"Control"
"106",418,"HOMU",16,"Control"
"107",418,"HOMU",18,"Control"
"108",418,"URLI",24,"Control"
"109",418,"URLI",1,"Control"
"110",418,"SACO",12,"Control"
"111",418,"ACWR",4,"Control"
"112",418,"ACWR",5,"Control"
"113",419,"HOMU",18,"Control"
"114",419,"HOMU",14,"Control"
"115",419,"URLI",25,"Control"
"116",419,"URLI",21,"Control"
"117",419,"SACO",4,"Control"
"118",419,"SACO",14,"Control"
"119",419,"FEMI",28,"Control"
"120",419,"ACWR",9,"Control"
"121",420,"URLI",21,"Control"
"122",420,"URLI",23,"Control"
"123",420,"FEMI",27,"Control"
"124",421,"URLI",22,"Drought"
"125",421,"URLI",25,"Drought"
"126",421,"PLER",25,"Drought"
"127",421,"PLER",16,"Drought"
"128",421,"SACO",13,"Drought"
"129",421,"FEMI",28,"Drought"
"130",421,"FEMI",25,"Drought"
"131",421,"ACWR",6,"Drought"
"132",422,"HOMU",13,"Drought"
"133",422,"HOMU",17,"Drought"
"134",422,"URLI",8,"Drought"
"135",422,"URLI",11,"Drought"
"136",422,"FEMI",6,"Drought"
"137",422,"FEMI",28,"Drought"
"138",424,"HOMU",11,"Drought"
"139",424,"HOMU",23,"Drought"
"140",424,"URLI",22,"Drought"
"141",424,"URLI",31,"Drought"
"142",424,"FEMI",32,"Drought"
"143",424,"FEMI",31,"Drought"
"144",425,"HOMU",15,"Drought"
"145",425,"HOMU",19,"Drought"
"146",425,"URLI",25,"Drought"
"147",425,"URLI",28,"Drought"
"148",425,"PLER",23,"Drought"
"149",425,"SACO",8,"Drought"
"150",425,"SACO",19,"Drought"
"151",425,"ACWR",3,"Drought"
"152",425,"ACWR",10,"Drought"
"153",426,"HOMU",21,"Control"
"154",426,"HOMU",20,"Control"
"155",426,"URLI",19,"Control"
"156",426,"URLI",23,"Control"
"157",426,"SACO",12,"Control"
"158",426,"FEMI",31,"Control"
"159",426,"FEMI",28,"Control"
"160",426,"ACWR",13,"Control"
"161",427,"HOMU",NA,"Control"
"162",427,"HOMU",NA,"Control"
"163",427,"URLI",21,"Control"
"164",427,"URLI",19,"Control"
"165",427,"PLER",27,"Control"
"166",427,"PLER",30,"Control"
"167",427,"SACO",14,"Control"
"168",427,"FEMI",29,"Control"
"169",427,"FEMI",30,"Control"
"170",428,"HOMU",16,"Control"
"171",428,"HOMU",21,"Control"
"172",428,"PLER",28,"Control"
"173",428,"PLER",28,"Control"
"174",428,"SACO",19,"Control"
"175",428,"SACO",9,"Control"
"176",428,"FEMI",24,"Control"
"177",428,"ACWR",3,"Control"
"178",429,"PLER",15,"Control"
"179",429,"PLER",28,"Control"
"180",430,"HOMU",14,"Control"
"181",430,"HOMU",20,"Control"
"182",430,"URLI",23,"Control"
"183",430,"URLI",21,"Control"
"184",430,"PLER",30,"Control"
"185",430,"PLER",31,"Control"
"186",430,"PLER",20,"Control"
"187",430,"SACO",24,"Control"
"188",430,"FEMI",24,"Control"
"189",430,"ACWR",7,"Control"
"190",430,"ACWR",11,"Control"
"191",431,"HOMU",18,"Drought"
"192",431,"HOMU",16,"Drought"
"193",431,"PLER",31,"Drought"
"194",431,"PLER",9,"Drought"
"195",431,"PLER",18,"Drought"
"196",431,"PLER",17,"Drought"
"197",431,"FEMI",28,"Drought"
"198",431,"FEMI",29,"Drought"
"199",431,"ACWR",2,"Drought"
"200",432,"HOMU",6,"Drought"
"201",432,"HOMU",14,"Drought"
"202",432,"URLI",0,"Drought"
"203",432,"URLI",0,"Drought"
"204",432,"PLER",12,"Drought"
"205",432,"PLER",21,"Drought"
"206",432,"FEMI",18,"Drought"
"207",433,"URLI",25,"Drought"
"208",433,"URLI",33,"Drought"
"209",433,"PLER",18,"Drought"
"210",433,"PLER",22,"Drought"
"211",433,"FEMI",20,"Drought"
"212",433,"FEMI",23,"Drought"
"213",433,"ACWR",7,"Drought"
"214",433,"ACWR",9,"Drought"
"215",434,"PLER",26,"Drought"
"216",435,"HOMU",20,"Drought"
"217",435,"HOMU",19,"Drought"
"218",435,"URLI",29,"Drought"
"219",435,"URLI",27,"Drought"
"220",435,"FEMI",14,"Drought"
"221",435,"FEMI",19,"Drought"
"222",435,"ACWR",5,"Drought"
"223",435,"ACWR",6,"Drought"
"224",436,"HOMU",18,"Control"
"225",436,"HOMU",14,"Control"
"226",436,"PLER",26,"Control"
"227",436,"SACO",16,"Control"
"228",436,"FEMI",27,"Control"
"229",436,"FEMI",26,"Control"
"230",436,"ACWR",9,"Control"
"231",437,"HOMU",19,"Control"
"232",437,"HOMU",21,"Control"
"233",437,"URLI",22,"Control"
"234",437,"URLI",18,"Control"
"235",437,"PLER",12,"Control"
"236",437,"PLER",22,"Control"
