plot_num,type,density,rep,Block,shelter,Treatment,position
401,traits,NA,4,Upper,1,Drought,1
402,ACWR,4,NA,Upper,1,Drought,2
403,lambda_others,NA,2,Upper,1,Drought,3
404,HOMU,12,NA,Upper,1,Drought,4
405,FEMI,8,NA,Upper,1,Drought,5
406,lambda_others,NA,3,Upper,1,Control,1
407,HOMU,8,NA,Upper,1,Control,2
408,PLER,12,NA,Upper,1,Control,3
409,FEMI,4,NA,Upper,1,Control,4
410,ACWR,2,NA,Upper,1,Control,5
411,FEMI,4,NA,Upper,2,Drought,1
412,ACWR,2,NA,Upper,2,Drought,2
413,HOMU,8,NA,Upper,2,Drought,3
414,PLER,12,NA,Upper,2,Drought,4
415,lambda_others,NA,3,Upper,2,Drought,5
416,SACO,12,NA,Upper,2,Control,1
417,lambda_others,NA,4,Upper,2,Control,2
418,FEMI,2,NA,Upper,2,Control,3
419,PLER,8,NA,Upper,2,Control,4
420,HOMU,4,NA,Upper,2,Control,5
421,HOMU,4,NA,Upper,3,Drought,1
422,PLER,8,NA,Upper,3,Drought,2
423,lambda_others,NA,4,Upper,3,Drought,3
424,SACO,12,NA,Upper,3,Drought,4
425,FEMI,2,NA,Upper,3,Drought,5
426,PLER,4,NA,Upper,3,Control,1
427,HOMU,2,NA,Upper,3,Control,2
428,URLI,12,NA,Upper,3,Control,3
429,lambda_others,NA,5,Upper,3,Control,4
430,SACO,8,NA,Upper,3,Control,5
431,URLI,12,NA,Upper,4,Drought,1
432,SACO,8,NA,Upper,4,Drought,2
433,HOMU,2,NA,Upper,4,Drought,3
434,lambda_others,NA,5,Upper,4,Drought,4
435,PLER,4,NA,Upper,4,Drought,5
436,URLI,8,NA,Upper,4,Control,1
437,lambda_focals,NA,1,Upper,4,Control,2
438,traits,NA,1,Upper,4,Control,3
439,PLER,2,NA,Upper,4,Control,4
440,SACO,4,NA,Upper,4,Control,5
441,traits,NA,1,Upper,5,Drought,1
442,lambda_focals,NA,1,Upper,5,Drought,2
443,SACO,4,NA,Upper,5,Drought,3
444,URLI,8,NA,Upper,5,Drought,4
445,PLER,2,NA,Upper,5,Drought,5
446,URLI,4,NA,Upper,5,Control,1
447,ACWR,12,NA,Upper,5,Control,2
448,lambda_focals,NA,2,Upper,5,Control,3
449,SACO,2,NA,Upper,5,Control,4
450,traits,NA,2,Upper,5,Control,5
451,lambda_focals,NA,2,Upper,6,Drought,1
452,ACWR,12,NA,Upper,6,Drought,2
453,SACO,2,NA,Upper,6,Drought,3
454,URLI,4,NA,Upper,6,Drought,4
455,traits,NA,2,Upper,6,Drought,5
456,URLI,2,NA,Upper,6,Control,1
457,ACWR,8,NA,Upper,6,Control,2
458,lambda_others,NA,1,Upper,6,Control,3
459,FEMI,12,NA,Upper,6,Control,4
460,traits,NA,3,Upper,6,Control,5
461,lambda_others,NA,1,Upper,7,Drought,1
462,ACWR,8,NA,Upper,7,Drought,2
463,traits,NA,3,Upper,7,Drought,3
464,FEMI,12,NA,Upper,7,Drought,4
465,URLI,2,NA,Upper,7,Drought,5
466,lambda_others,NA,2,Upper,7,Control,1
467,ACWR,4,NA,Upper,7,Control,2
468,HOMU,12,NA,Upper,7,Control,3
469,traits,NA,4,Upper,7,Control,4
470,FEMI,8,NA,Upper,7,Control,5
471,lambda_others,NA,6,Lower,8,Drought,1
472,ACWR,4,NA,Lower,8,Drought,2
473,traits,NA,7,Lower,8,Drought,3
474,FEMI,8,NA,Lower,8,Drought,4
475,HOMU,12,NA,Lower,8,Drought,5
476,lambda_others,NA,7,Lower,8,Control,1
477,HOMU,8,NA,Lower,8,Control,2
478,PLER,12,NA,Lower,8,Control,3
479,FEMI,4,NA,Lower,8,Control,4
480,ACWR,2,NA,Lower,8,Control,5
481,PLER,12,NA,Lower,9,Drought,1
482,HOMU,8,NA,Lower,9,Drought,2
483,ACWR,2,NA,Lower,9,Drought,3
484,lambda_others,NA,7,Lower,9,Drought,4
485,FEMI,4,NA,Lower,9,Drought,5
486,PLER,8,NA,Lower,9,Control,1
487,FEMI,2,NA,Lower,9,Control,2
488,HOMU,4,NA,Lower,9,Control,3
489,SACO,12,NA,Lower,9,Control,4
490,lambda_others,NA,8,Lower,9,Control,5
491,HOMU,4,NA,Lower,10,Drought,1
492,FEMI,2,NA,Lower,10,Drought,2
493,SACO,12,NA,Lower,10,Drought,3
494,lambda_others,NA,8,Lower,10,Drought,4
495,PLER,8,NA,Lower,10,Drought,5
496,lambda_others,NA,9,Lower,10,Control,1
497,PLER,4,NA,Lower,10,Control,2
498,URLI,12,NA,Lower,10,Control,3
499,HOMU,2,NA,Lower,10,Control,4
500,SACO,8,NA,Lower,10,Control,5
501,SACO,8,NA,Lower,11,Drought,1
502,PLER,4,NA,Lower,11,Drought,2
503,lambda_others,NA,9,Lower,11,Drought,3
504,HOMU,2,NA,Lower,11,Drought,4
505,URLI,12,NA,Lower,11,Drought,5
506,SACO,4,NA,Lower,11,Control,1
507,PLER,2,NA,Lower,11,Control,2
508,lambda_focals,NA,3,Lower,11,Control,3
509,lambda_others,NA,10,Lower,11,Control,4
510,URLI,8,NA,Lower,11,Control,5
511,lambda_focals,NA,3,Lower,12,Drought,1
512,URLI,8,NA,Lower,12,Drought,2
513,SACO,4,NA,Lower,12,Drought,3
514,lambda_others,NA,10,Lower,12,Drought,4
515,PLER,2,NA,Lower,12,Drought,5
516,SACO,2,NA,Lower,12,Control,1
517,traits,NA,5,Lower,12,Control,2
518,URLI,4,NA,Lower,12,Control,3
519,lambda_focals,NA,4,Lower,12,Control,4
520,ACWR,12,NA,Lower,12,Control,5
521,lambda_focals,NA,4,Lower,13,Drought,1
522,URLI,4,NA,Lower,13,Drought,2
523,traits,NA,5,Lower,13,Drought,3
524,ACWR,12,NA,Lower,13,Drought,4
525,SACO,2,NA,Lower,13,Drought,5
526,FEMI,12,NA,Lower,13,Control,1
527,traits,NA,6,Lower,13,Control,2
528,URLI,2,NA,Lower,13,Control,3
529,lambda_focals,NA,5,Lower,13,Control,4
530,ACWR,8,NA,Lower,13,Control,5
531,ACWR,8,NA,Lower,14,Drought,1
532,lambda_focals,NA,5,Lower,14,Drought,2
533,URLI,2,NA,Lower,14,Drought,3
534,FEMI,12,NA,Lower,14,Drought,4
535,traits,NA,6,Lower,14,Drought,5
536,traits,NA,7,Lower,14,Control,1
537,HOMU,12,NA,Lower,14,Control,2
538,ACWR,4,NA,Lower,14,Control,3
539,lambda_others,NA,6,Lower,14,Control,4
540,FEMI,8,NA,Lower,14,Control,5
