"","species","competitor","larger","sp_pair","type_change","change_value"
"1","SACO","ACWR","a","SACO_ACWR","n_change",0.14527191954239
"2","SACO","ACWR","a","SACO_ACWR","a_change",0.176213139189668
"3","URLI","ACWR","a","URLI_ACWR","n_change",0.0886022686471005
"4","URLI","ACWR","a","URLI_ACWR","a_change",0.349350800095292
"5","ACWR","FEMI","a","ACWR_FEMI","n_change",0.44035245408211
"6","ACWR","FEMI","a","ACWR_FEMI","a_change",0.720062618929565
"7","HOMU","FEMI","n","HOMU_FEMI","n_change",0.46894289940159
"8","HOMU","FEMI","n","HOMU_FEMI","a_change",0.106309852573016
"9","PLER","FEMI","n","PLER_FEMI","n_change",0.565572217387086
"10","PLER","FEMI","n","PLER_FEMI","a_change",0.194314952760612
"11","SACO","FEMI","a","SACO_FEMI","n_change",0.29508053453972
"12","SACO","FEMI","a","SACO_FEMI","a_change",0.482375205643208
"13","URLI","FEMI","n","URLI_FEMI","n_change",0.351750185435009
"14","URLI","FEMI","n","URLI_FEMI","a_change",0.100842158561092
"15","ACWR","HOMU","a","ACWR_HOMU","n_change",0.0285904453194799
"16","ACWR","HOMU","a","ACWR_HOMU","a_change",0.376312577302331
"17","PLER","HOMU","a","PLER_HOMU","n_change",0.0966293179854959
"18","PLER","HOMU","a","PLER_HOMU","a_change",0.457086372565887
"19","SACO","HOMU","a","SACO_HOMU","n_change",0.17386236486187
"20","SACO","HOMU","a","SACO_HOMU","a_change",0.230661524371182
"21","URLI","HOMU","a","URLI_HOMU","n_change",0.11719271396658
"22","URLI","HOMU","a","URLI_HOMU","a_change",0.251439962472342
"23","ACWR","PLER","a","ACWR_PLER","n_change",0.125219763304976
"24","ACWR","PLER","a","ACWR_PLER","a_change",0.680059304681474
"25","SACO","PLER","a","SACO_PLER","n_change",0.270491682847366
"26","SACO","PLER","a","SACO_PLER","a_change",0.799625546905197
"27","URLI","PLER","a","URLI_PLER","n_change",0.213822031952076
"28","URLI","PLER","a","URLI_PLER","a_change",0.510237962145846
"29","URLI","SACO","a","URLI_SACO","n_change",0.0566696508952894
"30","URLI","SACO","a","URLI_SACO","a_change",0.890404305932705
