"","focal","competitor","treatment","alpha","alpha_sd","alpha_low","alpha_high","lambda","lambda_low","lambda_high","snd","snd_low","snd_high","fd","fd_low","fd_high","sp_pair"
"1","ACWR","ACWR",1,0.27290461834826,0.131441296071882,0.182058087555219,0.412381854018256,2199.20126197249,1598.43782277783,3094.59224766217,0,0,0,1,1,1,"ACWR_ACWR"
"2","FEMI","ACWR",1,0.252076968705568,0.0859195082833959,0.174349331595232,0.344327204230406,2129.94961306718,1639.42747925703,2650.90122423196,0.433719101109824,0.263341695187797,0.557855190475923,0.603167099195878,0.468777884392044,0.778320646457326,"FEMI_ACWR"
"3","HOMU","ACWR",1,0.137554866448844,0.0566446874113811,0.0897711989971056,0.197311219323128,736.667017857429,630.864368849537,860.788594745433,0.313797208682867,0.120465669888156,0.46217068802609,0.880482758114965,0.673936638907228,1.15597405601892,"HOMU_ACWR"
"4","PLER","ACWR",1,0.0848307859464877,0.0433401891708745,0.0486903887643857,0.129989056852487,637.788304940562,506.313326568219,802.943783421892,0.372531362390095,0.201024844322827,0.50294278428901,0.566634111187562,0.430469230165788,0.732219037279027,"PLER_ACWR"
"5","SACO","ACWR",1,0.149193788967345,0.121795532398658,0.0602621065749404,0.281644907266264,1023.58416466961,665.710891051902,1408.55743962513,0.766449693661646,0.664508651068946,0.84572190506584,2.90974541205037,1.95785645488546,4.50496592983304,"SACO_ACWR"
"6","URLI","ACWR",1,0.0459269203416369,0.0965097101704621,0.0179033297901926,0.131815599166043,89.4550018994279,63.7693558488513,162.410077364461,0.436229477218971,0.179738307266328,0.59264530532353,2.65627930672562,1.24891007237561,4.8394618413728,"URLI_ACWR"
"7","ACWR","FEMI",1,0.211760923216728,0.148263896601722,0.119352225909223,0.363336834160334,2199.20126197249,1598.43782277783,3094.59224766217,0.433719101109824,0.263341695187797,0.557855190475923,1.6579156994356,1.28481758171892,2.13320644972598,"ACWR_FEMI"
"8","FEMI","FEMI",1,0.588199445590917,0.157731180687443,0.442060252103623,0.754055745639541,2129.94961306718,1639.42747925703,2650.90122423196,0,0,0,1,1,1,"FEMI_FEMI"
"9","HOMU","FEMI",1,0.109411756388336,0.0539094562916036,0.072159294717624,0.165987150936023,736.667017857429,630.864368849537,860.788594745433,0.474409853241516,0.346169772474522,0.574717910482782,1.17238129063408,0.949125940118095,1.46068095653118,"HOMU_FEMI"
"10","PLER","FEMI",1,0.429967755436043,0.186125096875542,0.289896751180437,0.618121291439883,637.788304940562,506.313326568219,802.943783421892,-0.0769886109010705,-0.320162376730568,0.11863977431643,2.17205344876135,1.75966492696665,2.67559810114004,"PLER_FEMI"
"11","SACO","FEMI",1,0.316030428643438,0.170686179155906,0.17840664301594,0.495833369249035,1023.58416466961,665.710891051902,1408.55743962513,0.367699485773033,0.206239074655132,0.48688375952159,2.99276915052803,2.4043472469312,3.83628912894551,"SACO_FEMI"
"12","URLI","FEMI",1,0.0541828012110369,0.0848417547264259,0.02721286243832,0.123025924081586,89.4550018994279,63.7693558488513,162.410077364461,0.3877881152964,0.0512906408478837,0.545495028955468,3.52349402972177,1.93094208389887,5.81724008494268,"URLI_FEMI"
"13","ACWR","HOMU",1,0.941538883110209,0.475891660340612,0.56301874338991,1.58429936174977,2199.20126197249,1598.43782277783,3094.59224766217,0.313797208682867,0.120465669888156,0.46217068802609,1.13574071248787,0.865071345189164,1.48381901587321,"ACWR_HOMU"
"14","FEMI","HOMU",1,1.41093775193174,0.376665489686651,1.0522622105858,1.92712415789697,2129.94961306718,1639.42747925703,2650.90122423196,0.474409853241516,0.346169772474522,0.574717910482782,0.852964824491583,0.684612197844742,1.05360096604374,"FEMI_HOMU"
"15","HOMU","HOMU",1,0.948399020009822,0.22301467817277,0.759339298200783,1.18333788437107,736.667017857429,630.864368849537,860.788594745433,0,0,0,1,1,1,"HOMU_HOMU"
