"","species","treatment","omega","theta","outcome","no_sp"
"1","FE-AC",1,0.305247188662987,13.0809514769001,1,2
"2","HO-AC",1,0.205089300173885,2.87230859059656,1,2
"3","PL-AC",1,0.215502824698455,12.5522405631186,0,2
"4","SA-AC",1,0.606826496198891,19.4421925704387,1,2
"5","UR-AC",1,0.187354923990525,11.9092330303338,0,2
"6","AC-FE",1,0.305247188662987,13.0809514769001,1,2
"7","HO-FE",1,0.259675854184745,5.50034884504033,1,2
"8","PL-FE",1,0.045592889920549,17.0138707213364,0,2
"9","SA-FE",1,0.271339068423358,25.0133916282614,0,2
"10","UR-FE",1,0.0824300825424846,6.69934270230059,0,2
"11","AC-HO",1,0.205089300173885,2.87230859059656,1,2
"12","FE-HO",1,0.259675854184745,5.50034884504033,1,2
"13","PL-HO",1,0.242570591330772,12.3794677510598,0,2
"14","SA-HO",1,0.378931274011098,18.8448407090737,0,2
"15","UR-HO",1,0.439163844410113,20.6678168346905,0,2
"16","AC-PL",1,0.215502824698455,12.5522405631186,0,2
"17","FE-PL",1,0.045592889920547,17.0138707213364,0,2
"18","HO-PL",1,0.242570591330773,12.3794677510598,0,2
"19","SA-PL",1,0.454622193424412,24.8152507276777,0,2
"20","UR-PL",1,0.322780045766109,11.3404458060581,1,2
"21","AC-SA",1,0.606826496198891,19.4421925704387,1,2
"22","FE-SA",1,0.271339068423358,25.0133916282614,0,2
"23","HO-SA",1,0.378931274011098,18.8448407090737,0,2
"24","PL-SA",1,0.454622193424412,24.8152507276777,0,2
"25","UR-SA",1,0.214339662718635,15.8194827329885,0,2
"26","AC-UR",1,0.187354923990525,11.9092330303338,0,2
"27","FE-UR",1,0.0824300825424851,6.69934270230059,0,2
"28","HO-UR",1,0.439163844410113,20.6678168346905,0,2
"29","PL-UR",1,0.322780045766109,11.3404458060581,1,2
"30","SA-UR",1,0.214339662718635,15.8194827329885,0,2
"31","FE-AC",2,0.208920296563449,24.0898344285957,0,2
"32","HO-AC",2,0.0160651466078718,17.3373383983666,0,2
"33","PL-AC",2,0.462999399795601,5.96426900863185,1,2
"34","SA-AC",2,0.49387378576559,35.6971127152531,0,2
"35","UR-AC",2,0.75834711123982,32.1796403485708,1,2
"36","AC-FE",2,0.208920296563448,24.0898344285957,0,2
"37","HO-FE",2,0.246016839521457,17.5296551063103,0,2
"38","PL-FE",2,0.376299770173994,15.8328527620847,1,2
"39","SA-FE",2,0.254527690236147,42.103934966167,0,2
"40","UR-FE",2,0.861016092939929,38.5743261109548,1,2
"41","AC-HO",2,0.0160651466078662,17.3373383983666,0,2
"42","FE-HO",2,0.246016839521457,17.5296551063103,0,2
"43","PL-HO",2,0.1042274122077,23.8518588466613,0,2
"44","SA-HO",2,0.196518977295953,37.4319261505486,0,2
"45","UR-HO",2,0.530762315742339,31.146420817894,0,2
"46","AC-PL",2,0.462999399795601,5.96426900863185,1,2
"47","FE-PL",2,0.376299770173994,15.8328527620847,1,2
"48","HO-PL",2,0.104227412207701,23.8518588466613,0,2
"49","SA-PL",2,0.714643162739828,17.6213261994629,1,2
"50","UR-PL",2,0.48968450016871,17.5977529259946,1,2
"51","AC-SA",2,0.49387378576559,35.6971127152531,0,2
"52","FE-SA",2,0.254527690236147,42.103934966167,0,2
"53","HO-SA",2,0.196518977295953,37.4319261505486,0,2
